host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,popularity,host_is_local,host_years,review_years_range
3,1.0,0.2,0,41,1,1,0,2,1.0,1.0,2251.0,20,1125,1,0,30,60,335,4.74,4.82,4.85,4.91,4.97,4.62,4.7,0,0.28,0,1,10,4.3
3,1.0,0.85,0,12,1,1,0,4,2.0,2.0,4050.0,2,90,1,5,21,26,120,4.9,4.94,4.87,4.92,4.9,4.81,4.87,0,1.11,3,1,10,10.01
0,0.0,0.0,0,2,1,1,0,2,2.0,1.0,6858.0,30,1125,1,23,53,83,358,4.88,5.0,4.88,5.0,5.0,5.0,4.75,0,0.06,2,1,10,5.42
3,1.0,1.0,0,1,1,1,0,3,1.0,1.0,1490.0,5,30,1,2,12,42,42,5.0,5.0,5.0,5.0,4.9,4.7,5.0,1,0.12,2,1,10,1.49
1,0.6,0.85,0,29,1,1,0,2,1.0,1.0,1850.0,2,365,1,22,52,82,357,4.17,4.5,4.5,4.83,4.5,4.5,4.33,0,0.06,2,1,10,4.92
3,1.0,0.99,1,11,1,1,0,5,2.0,2.0,2857.0,1,365,1,19,48,78,353,4.83,4.82,4.78,4.93,4.91,4.66,4.8,0,2.71,3,1,12,8.74
1,1.0,1.0,0,1,1,1,0,2,1.0,1.0,1000.0,120,1125,1,26,26,26,216,4.56,4.67,4.56,4.5,4.67,4.72,4.67,0,0.32,0,1,11,1.83
3,1.0,1.0,1,8,1,1,2,2,1.0,1.0,1247.0,1,365,1,26,56,86,361,4.7,4.76,4.67,4.8,4.85,4.35,4.61,1,0.47,3,1,10,9.17
3,1.0,1.0,0,10,1,1,0,3,3.0,3.0,3048.0,365,365,1,30,60,90,180,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0.04,2,1,10,8.69
3,1.0,1.0,0,7,1,1,2,2,3.0,2.0,850.0,1,1125,1,19,49,79,354,4.71,4.8,4.87,4.8,4.84,4.53,4.66,1,1.11,3,1,10,6.13
2,0.93,0.97,1,17,1,1,0,5,1.0,2.0,1974.0,10,365,1,30,60,90,365,4.17,4.67,4.33,3.83,4.17,3.5,4.0,0,0.05,2,1,11,4.09
3,0.95,0.67,0,8,1,1,0,3,1.0,2.0,1325.0,1,30,1,26,56,86,361,4.23,4.4,4.18,4.5,4.51,4.76,4.32,0,0.98,3,1,10,10.04
2,1.0,0.98,1,1,1,1,0,3,1.0,2.0,1385.0,1,1125,1,20,40,68,337,4.86,4.91,4.88,4.92,4.9,4.65,4.82,0,2.73,3,1,10,9.81
2,1.0,0.99,0,9,1,1,0,2,1.0,1.0,1832.0,3,365,1,13,31,61,152,4.7,4.82,4.71,4.87,4.86,4.95,4.69,1,1.88,3,1,12,10.18
3,1.0,1.0,0,1,1,1,0,3,1.0,2.0,1300.0,28,1125,1,7,11,11,224,4.72,4.81,4.52,4.88,4.83,4.89,4.67,1,0.53,3,1,10,9.93
3,1.0,1.0,0,5,1,1,2,2,1.0,1.0,1000.0,1,1125,1,30,60,90,365,4.7,4.78,4.93,4.85,4.7,4.22,4.67,0,0.22,0,1,10,10.34
